﻿Id,Lesson,Question,AnswerText
34,The Distributive Property of Multiplication,<p>21 &times; (5 + 8) =</p>,"Right:<p>(8 &times; 6) + (8 &times; 9)</p>,Wrong:<p>21 &times; 5 &times; 21 &times; 8</p>,Wrong:<p>21 &times; 5 + 8</p>,Wrong:<p>21 &times; 5 &times; 8</p>,Wrong:<p>7</p>,Wrong:<p>8</p>,Wrong:<p>14</p>,Wrong:<p>2</p>,Wrong:<p>4</p>,Wrong:<p>5</p>,Wrong:<p>6 + 5</p>,Wrong:<p>6</p>,Wrong:<p>6 &times; 12</p>,Wrong:<p>15 &times; 4 &times; 4</p>,Wrong:<p>(8 + 6) &times; (8 + 9)</p>,Wrong:<p>15 &times; 2 &times; 6</p>"
35,Finding the Unknown Factor Using the Multiplication Table,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>108 &divide; 12 = 9</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>9 &divide; 45</p>,Wrong:<p>5 &divide; 45</p>,Wrong:<p>45 &divide; 9</p>,Wrong:<p>24 &divide; 384 = 16</p>,Wrong:<p>16 &divide; 24 = 384</p>,Wrong:<p>384 &divide; 24 = 24</p>,Wrong:<p>12 &divide; 9 = 108</p>,Wrong:<p>108 &divide; 9 = 9</p>,Wrong:<p>108 &divide; 12 = 21</p>"
36,Associativity and Multiplication Problems,<p>(2 &times; 9) &times; 3 =&nbsp;</p>,"Right:<p>8 &times; 8</p>,Wrong:<p>2 &times; 12</p>,Wrong:<p>18 &times; 9</p>,Wrong:<p>11 &times; 3</p>,Wrong:<p>8 &times; 6</p>,Wrong:<p>10 &times; 4</p>,Wrong:<p>16 &times; 2</p>"
37,Multiplication Table and the Distributive Property,<p>13 &times; 8 =</p>,"Right:<p>(5 + 9) &times; 5</p>,Wrong:<p>(8 + 3) &times; (8 + 3)</p>,Wrong:<p>(8 &times; 4) + 8</p>,Wrong:<p>(8 + 4) &times; 8</p>,Wrong:<p>(1 + 3) &times; (4 + 3)</p>,Wrong:<p>(1 &times; 4) + 5</p>,Wrong:<p>(9 + 4) &times; 5</p>"
38,Division Using Properties of Operations,<p>The equation that has the same unknown value as 72 &divide; 9 =?</p>,"Right:<p>12</p>,Wrong:<p>? &divide; 9 = 72</p>,Wrong:<p>72 &times; ? = 9</p>,Wrong:<p>9 &divide; 72 = ?</p>,Wrong:<p>72 &times; 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p>72 + 8 = <img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /></p>,Wrong:<p><img title=""box-out-line-20"" src=""https://www.iconmath.com/js/tinymce/plugins/mathimages/img/box-out-line-20.png"" /> &divide; 8 = 72</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>56</p>,Wrong:<p>12</p>,Wrong:<p>14</p>,Wrong:<p>2</p>,Wrong:<p>2</p>,Wrong:<p>14</p>,Wrong:<p>16</p>"
39,Division Using Properties of Operations,"<p>What is the unknown number that makes the equation ""? &divide; 8 = 7"" true?</p>","Right:<p>56</p>,Wrong:<p>42</p>,Wrong:<p>49</p>,Wrong:<p>63</p>"
40,Solving Multi-Step Word Problems Using Rounding,"<p>Today the school cafeteria needs 112 bottles of water. They already have 64 bottles of water from yesterday. If the bottles come in packages of 6, what is the total number of packages of water the cafeteria will need to buy for today?</p>","Right:<p>9</p>,Wrong:<p>10</p>,Wrong:<p>48</p>,Wrong:<p>6</p>,Wrong:<p>63</p>,Wrong:<p>7</p>,Wrong:<p>13</p>"
41,Solving Multi-Step Word Problems Using Rounding,<p>A farm produced 235 eggs today. If they shipped 144 eggs and 18 eggs were damaged. How many eggs are left?</p>,"Right:<p>$26</p>,Wrong:<p>91</p>,Wrong:<p>397</p>,Wrong:<p>217</p>,Wrong:<p>$27</p>,Wrong:<p>$65</p>,Wrong:<p>$81</p>"
42,Even and Odd Numbers,<p>Which of the following numbers is an even number?</p>,"Right:<p>1</p>,Wrong:<p>3</p>,Wrong:<p>5</p>,Wrong:<p>9</p>,Wrong:<p>3, 1, 7, 9</p>,Wrong:<p>3, 2, 4, 1</p>,Wrong:<p>2, 6, 8, 5</p>,Wrong:<p>4</p>,Wrong:<p>6</p>,Wrong:<p>8</p>"
43,Adding Odd and Even Numbers,<p>The result of &ldquo;3 + 9&rdquo; is an:</p>,"Right:<p>9 + 6</p>,Wrong:<p>Odd number</p>,Wrong:<p>3 + 4</p>,Wrong:<p>6 + 5</p>,Wrong:<p>9 + 8</p>,Wrong:<p>9 + 5</p>,Wrong:<p>1 + 5</p>,Wrong:<p>2 + 6</p>"
44,Multiplying by Even Numbers,<p>The result of which of the following multiplication sentences doesn't end with a 0?</p>,"Right:<p>4 &times; 8</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>"
45,Multiplying by Even Numbers,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>6 &times; 7</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
46,Multiplying by Even Numbers,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>2 &times; 6</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
47,Patterns in the Multiplication Table for the Number 5,<p>The result of which of the following multiplication sentences doesn't end with a 0?</p>,"Right:<p>4 &times; 8</p>,Wrong:<p>8 &times; 5</p>,Wrong:<p>4 &times; 40</p>,Wrong:<p>3 &times; 20</p>,Wrong:<p>30 &times; 7</p>,Wrong:<p>5 &times; 50</p>,Wrong:<p>2 &times; 5</p>"
48,Patterns in the Multiplication Table for the Number 5,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>6 &times; 7</p>,Wrong:<p>4 &times; 5</p>,Wrong:<p>70 &times; 2</p>,Wrong:<p>4 &times; 500</p>,Wrong:<p>20 &times; 4</p>,Wrong:<p>8 &times; 10</p>,Wrong:<p>4 &times; 5</p>"
49,Patterns in the Multiplication Table for the Number 5,<p>The result of which of the following multiplication statements doesn't end with a 0?</p>,"Right:<p>2 &times; 6</p>,Wrong:<p>7 &times; 30</p>,Wrong:<p>2 &times; 20</p>,Wrong:<p>50 &times; 7</p>,Wrong:<p>2 &times; 30</p>,Wrong:<p>10 &times; 11</p>,Wrong:<p>3 &times; 10</p>"
50,Place Value Chart,"<p>The value of the&nbsp;digit 5 in the number 6,354 is:</p>","Right:<p>Ones place</p>,Wrong:<p>10</p>,Wrong:<p>5</p>,Wrong:<p>500</p>,Wrong:<p>10</p>,Wrong:<p>100</p>,Wrong:<p>1,000</p>,Wrong:<p>3,000</p>,Wrong:<p>30</p>,Wrong:<p>3</p>,Wrong:<p>10</p>,Wrong:<p>1,000</p>,Wrong:<p>100</p>,Wrong:<p>6,000</p>,Wrong:<p>60</p>,Wrong:<p>6</p>,Wrong:<p>Ones place</p>,Wrong:<p>Tens place</p>,Wrong:<p>Thousands place</p>,Wrong:<p>4 &times; 1,000</p>,Wrong:<p>4 &divide; 10</p>,Wrong:<p>4 &divide; 1,000</p>,Wrong:<p>Tens place</p>,Wrong:<p>Hundreds place</p>,Wrong:<p>Thousands place</p>"
51,Place Value Chart,"<p>The value of the&nbsp;digit 7 in the number 1,972 is:</p>","Right:<p>400</p>,Wrong:<p>10</p>,Wrong:<p>7</p>,Wrong:<p>700</p>,Wrong:<p>4,000</p>,Wrong:<p>40</p>,Wrong:<p>4</p>"
