Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
11,Word Problems Involving Multiplication Using the Number Line,,Utilizing the number line to solve word problems involving multiplication in Grade 3 is a powerful strategy that enhances problem-solving skills. Students will learn to represent and solve multiplication word problems by jumping a specific number of steps on the number line,Use a number line to solve multiplication word problems,publish,Multiplication Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/pmT4JnHBLzo"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
12,Word Problems Involving Multiplication Using Groups,,Applying the concept of grouping to solve word problems involving multiplication in Grade 3 is a practical approach. Students will learn how to tackle multiplication word problems by organizing objects into groups,Learn to tackle multiplication word problems by grouping,publish,Multiplication Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kFAH3eKPo7Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
13,Word Problems Involving Division Using Groups,,Using grouping strategies to solve word problems involving division in Grade 3 is a practical and effective approach. Students will learn to apply division concepts to real-world scenarios by splitting objects into groups,Explore division word problems by grouping,publish,Division Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HQtdoTQpO0Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
14,Word Problems Involving Division Using Arrays,,Arrays offer a visual and practical approach to solving word problems involving division in Grade 3. Students will learn how to use arrays to represent and solve division problems,Use arrays to solve division word problems,publish,Division Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/2nnEkC3vKjo"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
15,The Multiplication Table,,Learning the multiplication table in Grade 3 is an essential step towards mastering multiplication facts and enhancing calculation speed. Students will explore the multiplication table as a fundamental tool,Learn the multiplication table,publish,Multiplication Table,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/nP3jjMc4Qg0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:24, id:25, id:26, id:27"
16,Patterns in the Multiplication Table for the Number 5,,Discovering patterns in the multiplication table for the number 5 in Grade 3 enhances number sense and multiplication skills. Students will explore how the multiplication table reveals consistent patterns for the number 5,Discover patterns in the multiplication table for the number 5,publish,Multiplication Table,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/VQZkr6IWwJ4"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:47, id:48, id:49"
17,Adding the Number 10 to the Multiplication Table,,Learning how to add 10 to the multiplication table in Grade 3 reinforces addition and multiplication relationships. Students will explore the connection between addition and multiplication,Learn how to add 10 to the multiplication table,publish,Multiplication Table,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kbzQDDiuoy0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:116, id:117"
18,Finding the Product Using the Multiplication Table,,The multiplication table is a powerful tool for Grade 3 students to find unknown products in multiplication problems. Students will learn how to use the multiplication table to fill in missing factors,Use the multiplication table to find unknown products,publish,Finding the Unknown Product,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/d2MkyjX6sxs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:28, id:29"
19,Associativity and Multiplication Problems,,Exploring the associative property of multiplication through various problems in Grade 3 enhances understanding of multiplication relationships. Students will learn how the order of factors does not affect the product when multiplying,Explore the associative property of multiplication through various problems,publish,Finding the Unknown Product,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/fcyPUu5LIow"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:33, id:36"
20,Multiplication Table and the Distributive Property,,Understanding how to apply the distributive property using the multiplication table in Grade 3 improves problem-solving strategies. Students will learn how the distributive property can simplify complex multiplication problems,Learn how to apply the distributive property using the multiplication table,publish,Finding the Unknown Product,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Nbn1eB_D1Ks"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:34, id:37"
21,Finding the Unknown Factor Using the Multiplication Table,,Utilizing the multiplication table to find unknown factors in multiplication problems reinforces the relationship between multiplication and division in Grade 3. Students will learn how to use the multiplication table to solve problems involving unknown factors,Use the multiplication table to find unknown factors,publish,Finding the Unknown Factor,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/jobOdhdhV8A"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:35
22,Finding the Unknown Factor in Division Problems,,Learning to find unknown factors in division problems enhances division skills and understanding in Grade 3. Students will explore how to use division to find missing factors in problems involving whole numbers,Learn to find unknown factors in division problems,publish,Finding the Unknown Factor,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/x78mw-iq8CA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
23,The Commutative Property of Multiplication,,Exploring the commutative property of multiplication in Grade 3 illuminates how the order of factors does not affect the product. Students will learn how this property allows for flexibility in multiplication problems,Explore the commutative property of multiplication,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/H8_zG23evP8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:32
24,The Associative Property of Multiplication,,Understanding the associative property of multiplication in Grade 3 provides a powerful tool for simplifying complex multiplication problems. Students will learn how this property allows grouping of factors without changing the product,Learn about the associative property of multiplication,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/xEtSkES0A54"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:33
25,The Distributive Property of Multiplication,,The distributive property of multiplication is a critical tool for simplifying complex multiplication problems in Grade 3. Students will learn how this property can break down a complex multiplication problem into simpler calculations,Understand the distributive property of multiplication,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ZLzy6u0QOmQ"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:34
26,Distributive Property Using the Area of Rectangles,,Learning how to apply the distributive property using area models to solve multiplication problems in Grade 3 enhances spatial reasoning. Students will explore how the distributive property can be used to calculate the area of rectangles by splitting the rectangle into smaller units,Apply the distributive property using area models to solve multiplication problems,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/MDI4kcBGa_k"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:138
27,Estimating Sums Using Rounding,,Learning to estimate sums by rounding numbers in Grade 3 improves mental math skills and accuracy in calculations. Students will explore how rounding simplifies calculations,Learn to estimate sums by rounding numbers,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kfKjjoNlkfA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:74, id:75, id:76, id:77, id:78"
28,Estimating Sums in Word Problems,,Applying estimation techniques to solve word problems involving sums in Grade 3 enhances problem-solving skills. Students will learn how to use estimation to approximate solutions to word problems involving addition,Apply estimation techniques to solve word problems involving sums,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/mRc4QsEInj8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:79, id:80, id:81"
29,Reasonableness of Answers Using Rounding,,Evaluating the reasonableness of answers by rounding numbers in Grade 3 fosters critical thinking in problem-solving. Students will learn how rounding can be used to quickly check if a calculated answer is reasonable,Evaluate the reasonableness of answers by rounding,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/CY5bg1VnAM0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:82, id:83, id:84, id:85, id:86"
30,Solving Word Problems Using Estimation and Rounding,,Learning to solve word problems using estimation and rounding techniques in Grade 3 improves accuracy and efficiency in calculations. Students will explore how rounding and estimation can be used to solve word problems more efficiently,Learn to solve word problems using estimation and rounding,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/hNqkpwdkwyE"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:87
31,Solving Multi-Step Word Problems Using Rounding,,Applying rounding techniques to solve multi-step word problems in Grade 3 enhances problem-solving strategies. Students will learn how to use rounding to simplify each step of a multi-step word problem,Apply rounding techniques to solve multi-step word problems,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/iLJEB1hge50"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:40, id:41"
32,Using Estimation to Solve Multi-Step Word Problems Involving Multiplication and Division,,Using estimation to tackle multi-step word problems involving multiplication and division in Grade 3 improves calculation skills. Students will learn how to estimate solutions to multi-step word problems by rounding numbers,Use estimation to tackle multi-step word problems involving multiplication and division,publish,Solving Word Problems Using Estimation and Rounding,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/3cOs4YKaD2Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
33,Even and Odd Numbers,,Understanding the concepts of even and odd numbers in Grade 3 enhances number sense and classification skills. Students will explore how to identify even and odd numbers,Understand the concepts of even and odd numbers,publish,Even and Odd Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/tLWFt_vW33E"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:42
34,Adding Odd and Even Numbers,,Learning to add odd and even numbers in Grade 3 reinforces addition skills and understanding of number properties. Students will explore the rules and patterns governing the addition of odd and even numbers,Learn to add odd and even numbers,publish,Even and Odd Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/BoBPvQmcg-Y"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:43
35,Multiplying by Even Numbers,,Exploring multiplication with even numbers in Grade 3 enhances multiplication skills and understanding of number patterns. Students will learn how multiplication with even numbers follows specific patterns,Explore multiplication with even numbers,publish,Even and Odd Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/L2zPD9JxcHM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:44, id:45, id:46"
36,Place Value Chart,,Utilizing a place value chart to understand the value of digits in numbers in Grade 3 reinforces foundational math skills. Students will learn how to identify the value of digits in a number by their place value,Learn to use a place value chart to understand the value of digits in numbers,publish,Place Value,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/lmEpadL73ck"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:50, id:51, id:52, id:53, id:54"
37,Rounding to the Nearest Ten,,Understanding how to round whole numbers to the nearest ten in Grade 3 improves estimation and calculation skills. Students will learn how rounding simplifies calculation and estimation,Understand how to round whole numbers to the nearest ten,publish,Rounding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HolkkFDYJLM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:55, id:56, id:57, id:58, id:59, id:60, id:61"
38,Rounding to the Nearest Hundred,,Learning to round whole numbers to the nearest hundred in Grade 3 enhances estimation techniques and number sense. Students will explore how rounding to the nearest hundred provides a more advanced level of approximation,Learn to round whole numbers to the nearest hundred,publish,Rounding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HoFqE9-19PM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:62, id:63, id:64, id:65, id:66"
39,Rounding to the Nearest Ten and Hundred,,Exploring rounding whole numbers to the nearest ten and hundred in Grade 3 improves estimation skills for larger numbers. Students will learn how rounding to the nearest ten and hundred simplifies the calculation of larger numbers,Explore rounding whole numbers to the nearest ten and hundred,publish,Rounding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/MlFB9H-HFrY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:67, id:68, id:69, id:70, id:71, id:72, id:73"
40,Addition Rules,,Learning the fundamental rules of addition in Grade 3 enhances understanding of how to combine numbers effectively. Students will explore the basic addition rules,Learn the fundamental rules of addition,publish,Addition Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/QF2S8nDJA3s"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:88, id:89, id:90, id:91, id:92"
41,Mental Math Addition,,Developing mental math strategies for addition in Grade 3 improves speed and accuracy in calculations. Students will learn how to perform addition mentally,Develop mental math strategies for addition,publish,Addition Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/dKz2DUjQb7E"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:93, id:94, id:95, id:96, id:97"
42,Subtraction Rules,,Understanding the basic rules of subtraction in Grade 3 reinforces foundational skills in arithmetic. Students will explore the fundamental subtraction rules,Understand the basic rules of subtraction,publish,Subtraction Rules,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/rRz8gm0iFtU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:103, id:104, id:105, id:106, id:107, id:108"
43,Addition Using Base-Ten Blocks,,Utilizing base-ten blocks for addition in Grade 3 enhances understanding of place value and addition concepts. Students will learn how to represent and add numbers using base-ten blocks,Learn to use base-ten blocks for addition,publish,Adding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/aQMjLFlbsDA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:98, id:99, id:100, id:101, id:102"
44,Addition Using Place Value Chart,,Exploring addition using a place value chart in Grade 3 reinforces the concept of place value in calculations. Students will learn how to use a place value chart to add numbers,Explore addition using a place value chart,publish,Adding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/AunHULQVyXU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:93, id:94, id:95, id:96, id:97"
45,Addition of Multi-Digit Whole Numbers,,Learning to add multi-digit whole numbers in Grade 3 enhances skills in addition and number sense. Students will explore how to perform addition with multi-digit numbers,Learn to add multi-digit whole numbers,publish,Adding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ioiSqRj39mA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:98, id:99, id:100, id:101, id:102"
46,Subtraction Using Base-Ten Blocks,,Using base-ten blocks to understand subtraction in Grade 3 reinforces the concept of taking away in a visual manner. Students will learn how to represent and subtract numbers using base-ten blocks,Use base-ten blocks to understand subtraction,publish,Subtracting Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/lm4dsh4MdwU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:109, id:110, id:111, id:112, id:113"
47,Subtraction Using Base-Ten Blocks with Regrouping,,Learning to subtract using base-ten blocks with regrouping in Grade 3 enhances understanding of borrowing in subtraction. Students will explore how to perform regrouping with base-ten blocks,Learn to subtract using base-ten blocks with regrouping,publish,Subtracting Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/w_vclUiJP30"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:109, id:110, id:111, id:112, id:113"
48,Subtraction of Multi-Digit Whole Numbers,,Exploring subtraction of multi-digit whole numbers in Grade 3 reinforces skills in subtraction and number sense. Students will learn how to perform subtraction with multi-digit numbers,Explore subtraction of multi-digit whole numbers,publish,Subtracting Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kICDhtwji3A"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:109, id:110, id:111, id:112, id:113"
49,Multiples of Ten,,Understanding multiples of ten in Grade 3 enhances number sense and multiplication skills. Students will explore how multiples of ten are used in multiplication and division,Understand multiples of ten,publish,Multiples of Ten,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/w_OMNvH6YT8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:116, id:117"
50,Multiplying Numbers by Multiples of Ten,,Learning to multiply numbers by multiples of ten in Grade 3 reinforces multiplication skills and understanding of place value. Students will explore how multiplying by multiples of ten involves shifting the value of a digit,Learn to multiply numbers by multiples of ten,publish,Multiples of Ten,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/h3ZZAjD_pYo"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:118, id:119, id:120, id:121"
51,Time in Minutes and Hours,,Exploring the concepts of time in minutes and hours in Grade 3 enhances understanding of time measurement. Students will learn how to measure and represent time using minutes and hours,Explore the concepts of time in minutes and hours,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ITItALp58xU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:131, id:132"
52,Time in a Watch,,Learning to read time on a watch in Grade 3 reinforces practical skills in time management. Students will explore how to read time on an analog watch,Learn to read time on a watch,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/wGzA3wY19NA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
53,Time Estimates,,Understanding how to estimate time in Grade 3 improves skills in time management and planning. Students will learn how to estimate time for different activities,Understand how to estimate time,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/yZVOgRkQGPY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
54,Difference in Minutes Between Two Times within the Same Hour,,Learning to calculate the difference in minutes between two times within the same hour in Grade 3 enhances time calculation skills. Students will explore how to calculate the time difference when the times are within the same hour,Learn to calculate the difference in minutes between two times within the same hour,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/M-RwsX6fLpc"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
55,Solving Word Problems Involving Adding Minutes,,Applying addition of minutes to solve word problems in Grade 3 reinforces practical applications of time. Students will learn how to add minutes to solve real-world problems,Apply addition of minutes to solve word problems,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/-wPgkf_hzd0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:131
56,Solving Word Problems Involving Subtracting Minutes,,Learning to solve word problems involving subtraction of minutes in Grade 3 enhances problem-solving skills in time management. Students will explore how to subtract minutes to solve real-world problems,Learn to solve word problems involving subtraction of minutes,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Ulo0pKwxLtI"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:132
58,Introducing Fractions,,Understanding the concept of fractions in Grade 3 is a pivotal step towards developing a strong mathematical foundation. Students will explore how fractions represent equal parts of a whole,Understand the concept of fractions,publish,Fractions and Unit Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/NH62tTa-GQY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:122
59,Equivalent Fractions Using Visual Models,,Understanding equivalent fractions through visual models in Grade 3 enhances comprehension of fraction equivalence. Students will explore how different fractions represent the same part of a whole,Understand equivalent fractions through visual models,publish,Equivalent Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/dapxK7j-b9g"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:123, id:124"
60,Expressing Whole Numbers as Fractions,,Understanding how to express whole numbers as fractions in Grade 3 enhances comprehension of fractions and their representations. Students will learn to represent whole numbers as fractions,Understand how to express whole numbers as fractions,publish,Wholes as Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Cqnw2ZXHckk"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:125, id:126, id:127"
61,Comparing Fractions,,Learning to compare fractions using area models and number lines in Grade 3 reinforces the understanding of fraction relationships. Students will utilize visual representations to compare fractions,Learn to compare fractions using visual models,publish,Comparing Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/_zbN6QY9fc0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:128, id:129, id:130"
62,Measuring Mass,,Understanding how to measure mass using kilograms and grams in Grade 3 reinforces measurement skills. Students will learn to choose appropriate units and estimate the mass of various objects,Learn to measure mass using kilograms and grams,publish,Measurements: Masses and Liquid Volume,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Du-qEdxPC5Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:133, id:134"
63,Operations with Mass Measurements,,Learning to perform operations with mass measurements in Grade 3 enhances problem-solving skills in real-world contexts. Students will explore addition, subtraction, and multiplication of mass measurements,Learn to perform operations with mass measurements,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/KccTZToKcSA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:135, id:136"
64,Multiplying Measurements of Volume,,Exploring multiplication of volume measurements in Grade 3 reinforces understanding of measurement and multiplication concepts. Students will learn to multiply measurements using repeated addition,Learn to multiply measurements of volume,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/8-34q0tNmUs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:137
65,Area of Rectangles,,Learning to calculate the area of rectangles in Grade 3 enhances spatial reasoning and measurement skills. Students will explore how to find the area by multiplying the length and width of rectangles,Learn to calculate the area of rectangles,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/fsF-Pex_kKQ"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:138
66,Properties of Squares and Rectangles,,Understanding the properties of squares and rectangles in Grade 3 enhances geometric reasoning. Students will explore the characteristics of these shapes and their relationships,Learn about the properties of squares and rectangles,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ZDSlmq9N5k4"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:139
67,Solving Time-Related Word Problems,,Applying time concepts to solve word problems in Grade 3 enhances problem-solving skills in real-world contexts. Students will learn to add and subtract minutes to solve practical time-based problems,Learn to solve word problems involving time,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/example6"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:131, id:132"
57,Fractions,,Understanding the concept of fractions in Grade 3 is a pivotal step towards developing a strong mathematical foundation. Students will explore how fractions represent equal parts of a whole,Understand the concept of fractions,publish,Fractions and Unit Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/NH62tTa-GQY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
58,Unit Fractions on the Number Line,,Learning to represent unit fractions on a number line in Grade 3 reinforces the understanding of fractions and their placement. Students will visualize how unit fractions are positioned on the number line,Learn to represent unit fractions on a number line,publish,Fractions and Unit Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/45f4F3qELqs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
59,Building Fractions from Unit Fractions Using Visual Models,,Exploring how to build fractions from unit fractions using visual models in Grade 3 enhances comprehension of fraction concepts. Students will learn to construct fractions by combining unit fractions,Explore how to build fractions from unit fractions using visual models,publish,Fractions and Unit Fractions,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/6rdg4qFtDnM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
