ConceptName	QuestionName	Question	AnswerText	Correct
Interpret products by drawing pictures.	Q1	<p>If we have 6 groups of 4 elements each, then the total number of elements can be represented as:</p>	<p>6 &times; 4</p>	yes
Interpret products by drawing pictures.	Q1	<p>If we have 6 groups of 4 elements each, then the total number of elements can be represented as:</p>	<p>6 &times; 4 - 6</p>	
Interpret products by drawing pictures.	Q1	<p>If we have 6 groups of 4 elements each, then the total number of elements can be represented as:</p>	<p>6&nbsp;+ 6 + 6 + 6 + 6</p>	
Interpret products by drawing pictures.	Q1	<p>Paul has 3 jars of red marbles and 7 jars of yellow marbles. Each jar of red marbles has 60 marbles and each jar of yellow marbles has 90 marbles. What is the difference between the total number of yellow marbles and the total number of red marbles?</p>	<p>30</p>	
Interpret products by drawing pictures.	Q1	<p>Paul has 3 jars of red marbles and 7 jars of yellow marbles. Each jar of red marbles has 60 marbles and each jar of yellow marbles has 90 marbles. What is the difference between the total number of yellow marbles and the total number of red marbles?</p>	<p>120</p>	
Interpret products by drawing pictures.	Q1	<p>Paul has 3 jars of red marbles and 7 jars of yellow marbles. Each jar of red marbles has 60 marbles and each jar of yellow marbles has 90 marbles. What is the difference between the total number of yellow marbles and the total number of red marbles?</p>	<p>450</p>	yes
Interpret products by drawing pictures.	Q1	<p>Paul has 3 jars of red marbles and 7 jars of yellow marbles. Each jar of red marbles has 60 marbles and each jar of yellow marbles has 90 marbles. What is the difference between the total number of yellow marbles and the total number of red marbles?</p>	<p>150</p>	
Interpret products by drawing pictures.	Q1	<p>Last week John watched 8 movies each was 60 minutes long and Sam watched 4 movies each was 90 minutes long. What is the difference, in minutes, between the total amount of time John spent watching movies and the total amount of time Sam spent watching movies?</p>	<p>120</p>	yes
Interpret products by drawing pictures.	Q1	<p>Last week John watched 8 movies each was 60 minutes long and Sam watched 4 movies each was 90 minutes long. What is the difference, in minutes, between the total amount of time John spent watching movies and the total amount of time Sam spent watching movies?</p>	<p>30</p>	
Interpret products by drawing pictures.	Q1	<p>Last week John watched 8 movies each was 60 minutes long and Sam watched 4 movies each was 90 minutes long. What is the difference, in minutes, between the total amount of time John spent watching movies and the total amount of time Sam spent watching movies?</p>	<p>480</p>	
Interpret products by drawing pictures.	Q1	<p>Last week John watched 8 movies each was 60 minutes long and Sam watched 4 movies each was 90 minutes long. What is the difference, in minutes, between the total amount of time John spent watching movies and the total amount of time Sam spent watching movies?</p>	<p>360</p>	
Identifying division and its components.	Q1	<p>The sentence that represents "Equally sharing 20 cookies among 5 children" is:</p>	<p>20 &divide; 5</p>	yes
Identifying division and its components.	Q1	<p>The sentence that represents "Equally sharing 20 cookies among 5 children" is:</p>	<p>25 &divide;&nbsp;4</p>	
Identifying division and its components.	Q1	<p>The sentence that represents "Equally sharing 20 cookies among 5 children" is:</p>	<p>20 &divide;&nbsp;4</p>	
Identifying division and its components.	Q1	<p>The sentence that represents "Equally sharing 20 cookies among 5 children" is:</p>	<p>25 &divide; 5</p>	
Identifying division and its components.	Q1	<p>The sentence that represents "Dividing 6 counters into 2 equal groups, with 3 counters in each group" is:</p>	<p>6 &divide; 2 = 2</p>	
Identifying division and its components.	Q1	<p>The sentence that represents "Dividing 6 counters into 2 equal groups, with 3 counters in each group" is:</p>	<p>12&nbsp;&divide; 2 =&nbsp;6</p>	
Identifying division and its components.	Q1	<p>The sentence that represents "Dividing 6 counters into 2 equal groups, with 3 counters in each group" is:</p>	<p>6&nbsp;&divide; 2 =&nbsp;3</p>	yes
Identifying division and its components.	Q1	<p>The sentence that represents "Dividing 6 counters into 2 equal groups, with 3 counters in each group" is:</p>	<p>12&nbsp;&divide; 6&nbsp;=&nbsp;2</p>	
Identifying division and its components.	Q1	<p>In the division sentence 28 &divide; 4 = 7, 4 is called:</p>	<p>The quotient</p>	
Identifying division and its components.	Q1	<p>In the division sentence 28 &divide; 4 = 7, 4 is called:</p>	<p>The divisor</p>	yes
Identifying division and its components.	Q1	<p>In the division sentence 28 &divide; 4 = 7, 4 is called:</p>	<p>The dividend</p>	
Identifying division and its components.	Q1	<p>What is the quotient for 42 &divide; 7?</p>	<p>42</p>	
Identifying division and its components.	Q1	<p>What is the quotient for 42 &divide; 7?</p>	<p>7</p>	
Identifying division and its components.	Q1	<p>What is the quotient for 42 &divide; 7?</p>	<p>6</p>	yes
Identifying division and its components.	Q1	<p>What is the quotient for 42 &divide; 7?</p>	<p>0</p>	
Identifying division and its components.	Q1	<p>What is the quotient for 28 &divide; 7?</p>	<p>7</p>	
Identifying division and its components.	Q1	<p>What is the quotient for 28 &divide; 7?</p>	<p>28</p>	
Identifying division and its components.	Q1	<p>What is the quotient for 28 &divide; 7?</p>	<p>3</p>	
Identifying division and its components.	Q1	<p>What is the quotient for 28 &divide; 7?</p>	<p>4</p>	yes
Identifying division and its components.	Q1	<p>In the division sentence 42 &divide; 7 = 6, 6 is called:</p>	<p>The quotient</p>	yes
Identifying division and its components.	Q1	<p>In the division sentence 42 &divide; 7 = 6, 6 is called:</p>	<p>The divisor</p>	
Identifying division and its components.	Q1	<p>In the division sentence 42 &divide; 7 = 6, 6 is called:</p>	<p>The dividend</p>	
Dividing a number into groups.	Q1	<p>Sam has 32 baseball cards and wants to place them equally into 4 boxes. The number of cards in each box can be represented as:</p>	<p>32 &divide; 3</p>	
Dividing a number into groups.	Q1	<p>Sam has 32 baseball cards and wants to place them equally into 4 boxes. The number of cards in each box can be represented as:</p>	<p>32 &divide; 8</p>	
Dividing a number into groups.	Q1	<p>Sam has 32 baseball cards and wants to place them equally into 4 boxes. The number of cards in each box can be represented as:</p>	<p>32 &divide; 4</p>	yes
Dividing a number into groups.	Q1	<p>Sam has 32 baseball cards and wants to place them equally into 4 boxes. The number of cards in each box can be represented as:</p>	<p>8 &divide; 4</p>	
Dividing a number into groups.	Q1	<p>If Maya wants to place 24 notebooks on 6 shelves equally, then the number of notebooks that are in each shelf can be expressed as:</p>	<p>24 - 6</p>	
Dividing a number into groups.	Q1	<p>If Maya wants to place 24 notebooks on 6 shelves equally, then the number of notebooks that are in each shelf can be expressed as:</p>	<p>24 &divide; 6</p>	yes
Dividing a number into groups.	Q1	<p>If Maya wants to place 24 notebooks on 6 shelves equally, then the number of notebooks that are in each shelf can be expressed as:</p>	<p>24 &divide; 7</p>	
Dividing a number into groups.	Q1	<p>If Maya wants to place 24 notebooks on 6 shelves equally, then the number of notebooks that are in each shelf can be expressed as:</p>	<p>24 &divide; 5</p>	
Dividing a number into groups.	Q1	<p>If we equally split 18 elements into groups where each group has 3 elements, then the number of groups will be:</p>	<p>8</p>	
Dividing a number into groups.	Q1	<p>If we equally split 18 elements into groups where each group has 3 elements, then the number of groups will be:</p>	<p>5</p>	
Dividing a number into groups.	Q1	<p>If we equally split 18 elements into groups where each group has 3 elements, then the number of groups will be:</p>	<p>3</p>	
Dividing a number into groups.	Q1	<p>If we equally split 18 elements into groups where each group has 3 elements, then the number of groups will be:</p>	<p>6</p>	yes
Dividing a number into groups.	Q1	<p>If we equally split 24 elements into 6 groups, then the number of elements in each group will be:</p>	<p>4</p>	yes
Dividing a number into groups.	Q1	<p>If we equally split 24 elements into 6 groups, then the number of elements in each group will be:</p>	<p>6</p>	
Dividing a number into groups.	Q1	<p>If we equally split 24 elements into 6 groups, then the number of elements in each group will be:</p>	<p>5</p>	
Dividing a number into groups.	Q1	<p>If we equally split 24 elements into 6 groups, then the number of elements in each group will be:</p>	<p>3</p>	
Dividing a number into groups.	Q1	<p>The division sentence 21 &divide; 7 can be represented by:</p>	<p>3 groups of 21 elements each</p>	
Dividing a number into groups.	Q1	<p>The division sentence 21 &divide; 7 can be represented by:</p>	<p>7&nbsp;groups of 21 elements each</p>	
Dividing a number into groups.	Q1	<p>The division sentence 21 &divide; 7 can be represented by:</p>	<p>7&nbsp;groups of 3&nbsp;elements each</p>	yes
Dividing a number into groups.	Q1	<p>The division sentence 21 &divide; 7 can be represented by:</p>	<p>7&nbsp;groups of 10 elements each</p>	
Dividing a number into groups.	Q1	<p>Which of the following situations can be represented by: 35 &divide; 7?</p>	<p>Jimmy has a total of 35 fish divided evenly into 7 fishbowls</p>	yes
Dividing a number into groups.	Q1	<p>Which of the following situations can be represented by: 35 &divide; 7?</p>	<p>Jimmy has a total of 7 fish divided evenly into 35 fishbowls</p>	
Dividing a number into groups.	Q1	<p>Which of the following situations can be represented by: 35 &divide; 7?</p>	<p>Jimmy has a total of 5 fish divided evenly into 7 fishbowls</p>	
Dividing a number into groups.	Q1	<p>Which of the following situations can be represented by: 35 &divide; 7?</p>	<p>Jimmy has a total of 35 fish divided evenly into 5 fishbowls</p>	
Dividing a number into groups.	Q1	<p>The division sentence 42 ÷ 6 can be represented by:</p>	<p>7 groups of 42 elements each</p>	
Dividing a number into groups.	Q1	<p>The division sentence 42 ÷ 6 can be represented by:</p>	<p>6 groups of 7 elements each</p>	yes
Dividing a number into groups.	Q1	<p>The division sentence 42 ÷ 6 can be represented by:</p>	<p>6 groups of 6 elements each</p>	
Dividing a number into groups.	Q1	<p>The division sentence 42 ÷ 6 can be represented by:</p>	<p>42 groups of 6 elements each</p>	
Dividing a number into groups.	Q1	<p>The number of objects described in which situation can be represented by 30 &divide; 6?</p>	<p>There are 30 eggs and we used 6 eggs to make an omelet</p>	
Dividing a number into groups.	Q1	<p>The number of objects described in which situation can be represented by 30 &divide; 6?</p>	<p>There are 30 boxes of candy with 6 pieces each</p>	
Dividing a number into groups.	Q1	<p>The number of objects described in which situation can be represented by 30 &divide; 6?</p>	<p>There are 30 boxes at the super market and they got 6 more</p>	
Dividing a number into groups.	Q1	<p>The number of objects described in which situation can be represented by 30 &divide; 6?</p>	<p>There are 30 eggs sorted equally into 6 cartoons</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>12</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>13</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>35</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>40</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>18</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>20</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>24</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>46</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>8</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>10</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>15</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>30</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>11</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>15</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>28</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>47</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>17</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>80</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>98</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>72</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A small school has 8 classrooms. Each classroom can fit 11 students. What is the greatest number of students that can enroll in this school?</p>	<p>38</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A small school has 8 classrooms. Each classroom can fit 11 students. What is the greatest number of students that can enroll in this school?</p>	<p>48</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A small school has 8 classrooms. Each classroom can fit 11 students. What is the greatest number of students that can enroll in this school?</p>	<p>532</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>A small school has 8 classrooms. Each classroom can fit 11 students. What is the greatest number of students that can enroll in this school?</p>	<p>88</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Emma drew 9 rows of blocks, each row contains 7 blocks. How many blocks did she draw in total?</p>	<p>16</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Emma drew 9 rows of blocks, each row contains 7 blocks. How many blocks did she draw in total?</p>	<p>63</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Emma drew 9 rows of blocks, each row contains 7 blocks. How many blocks did she draw in total?</p>	<p>79</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Emma drew 9 rows of blocks, each row contains 7 blocks. How many blocks did she draw in total?</p>	<p>97</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>Emma drew 5 rows of blocks, each row contains 6 blocks. How many blocks did she draw in total?</p>	<p>11</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>Emma drew 5 rows of blocks, each row contains 6 blocks. How many blocks did she draw in total?</p>	<p>30</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>Emma drew 5 rows of blocks, each row contains 6 blocks. How many blocks did she draw in total?</p>	<p>56</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q2	<p>Emma drew 5 rows of blocks, each row contains 6 blocks. How many blocks did she draw in total?</p>	<p>65</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>Emma drew 4 rows of blocks, each row contains 8 blocks. How many blocks did she draw in total?</p>	<p>12</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>Emma drew 4 rows of blocks, each row contains 8 blocks. How many blocks did she draw in total?</p>	<p>32</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>Emma drew 4 rows of blocks, each row contains 8 blocks. How many blocks did she draw in total?</p>	<p>48</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q3	<p>Emma drew 4 rows of blocks, each row contains 8 blocks. How many blocks did she draw in total?</p>	<p>84</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q4	<p>Emma drew 6 rows of blocks, each row contains 9 blocks. How many blocks did she draw in total?</p>	<p>15</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q4	<p>Emma drew 6 rows of blocks, each row contains 9 blocks. How many blocks did she draw in total?</p>	<p>54</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q4	<p>Emma drew 6 rows of blocks, each row contains 9 blocks. How many blocks did she draw in total?</p>	<p>69</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q4	<p>Emma drew 6 rows of blocks, each row contains 9 blocks. How many blocks did she draw in total?</p>	<p>96</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>Emma drew 8 rows of blocks, each row contains 2 blocks. How many blocks did she draw in total?</p>	<p>10</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>Emma drew 8 rows of blocks, each row contains 2 blocks. How many blocks did she draw in total?</p>	<p>16</p>	yes
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>Emma drew 8 rows of blocks, each row contains 2 blocks. How many blocks did she draw in total?</p>	<p>28</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q5	<p>Emma drew 8 rows of blocks, each row contains 2 blocks. How many blocks did she draw in total?</p>	<p>82</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Jamal has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Jamal have?</p>	<p>17</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Jamal has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Jamal have?</p>	<p>80</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Jamal has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Jamal have?</p>	<p>98</p>	
Use multiplication to solve word problems using arrays and a symbol for the unknown.	Q1	<p>Jamal has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Jamal have?</p>	<p>72</p>	yes
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>12</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>13</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>35</p>	yes
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>40</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>18</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>20</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>24</p>	yes
Use multiplication to solve word problems involving measurement quantities using the number line.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>46</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>8</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>10</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>15</p>	yes
Use multiplication to solve word problems involving measurement quantities using the number line.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>30</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>11</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>15</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>28</p>	yes
Use multiplication to solve word problems involving measurement quantities using the number line.	Q5	<p>A class has 4 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>47</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>17</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>80</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>98</p>	
Use multiplication to solve word problems involving measurement quantities using the number line.	Q1	<p>Suzie has a small library made up of 8 shelves, each shelf contains 9 books. How many books does Suzie have?</p>	<p>72</p>	yes
Use multiplication to solve word problems involving groups.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>12</p>	
Use multiplication to solve word problems involving groups.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>13</p>	
Use multiplication to solve word problems involving groups.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>35</p>	yes
Use multiplication to solve word problems involving groups.	Q1	<p>A class has 5 rows of seats, each row has 7 seats. How many seats are there in the class in total?</p>	<p>40</p>	
Use multiplication to solve word problems involving groups.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>18</p>	
Use multiplication to solve word problems involving groups.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>20</p>	
Use multiplication to solve word problems involving groups.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>24</p>	yes
Use multiplication to solve word problems involving groups.	Q2	<p>A class has 6 rows of seats, each row has 4 seats. How many seats are there in the class in total?</p>	<p>46</p>	
Use multiplication to solve word problems involving groups.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>8</p>	
Use multiplication to solve word problems involving groups.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>10</p>	
Use multiplication to solve word problems involving groups.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>15</p>	yes
Use multiplication to solve word problems involving groups.	Q3	<p>A class has 3 rows of seats, each row has 5 seats. How many seats are there in the class in total?</p>	<p>30</p>	
