Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
37,Rounding to the Nearest Ten,,Understanding how to round whole numbers to the nearest ten in Grade 3 improves estimation and calculation skills. Students will learn how rounding simplifies calculation and estimation,Understand how to round whole numbers to the nearest ten,publish,Rounding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HolkkFDYJLM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:55, id:56, id:57, id:58, id:59, id:60, id:61"
38,Rounding to the Nearest Hundred,,Learning to round whole numbers to the nearest hundred in Grade 3 enhances estimation techniques and number sense. Students will explore how rounding to the nearest hundred provides a more advanced level of approximation,Learn to round whole numbers to the nearest hundred,publish,Rounding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HoFqE9-19PM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:62, id:63, id:64, id:65, id:66"
39,Rounding to the Nearest Ten and Hundred,,Exploring rounding whole numbers to the nearest ten and hundred in Grade 3 improves estimation skills for larger numbers. Students will learn how rounding to the nearest ten and hundred simplifies the calculation of larger numbers,Explore rounding whole numbers to the nearest ten and hundred,publish,Rounding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/MlFB9H-HFrY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:67, id:68, id:69, id:70, id:71, id:72, id:73"
40,Addition Rules,,Learning the fundamental rules of addition in Grade 3 enhances understanding of how to combine numbers effectively. Students will explore the basic addition rules,Learn the fundamental rules of addition,publish,Addition Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/QF2S8nDJA3s"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:88, id:89, id:90, id:91, id:92"
41,Mental Math Addition,,Developing mental math strategies for addition in Grade 3 improves speed and accuracy in calculations. Students will learn how to perform addition mentally,Develop mental math strategies for addition,publish,Addition Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/dKz2DUjQb7E"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:93, id:94, id:95, id:96, id:97"
42,Subtraction Rules,,Understanding the basic rules of subtraction in Grade 3 reinforces foundational skills in arithmetic. Students will explore the fundamental subtraction rules,Understand the basic rules of subtraction,publish,Subtraction Rules,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/rRz8gm0iFtU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:103, id:104, id:105, id:106, id:107, id:108"
43,Addition Using Base-Ten Blocks,,Utilizing base-ten blocks for addition in Grade 3 enhances understanding of place value and addition concepts. Students will learn how to represent and add numbers using base-ten blocks,Learn to use base-ten blocks for addition,publish,Adding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/aQMjLFlbsDA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:98, id:99, id:100, id:101, id:102"
44,Addition Using Place Value Chart,,Exploring addition using a place value chart in Grade 3 reinforces the concept of place value in calculations. Students will learn how to use a place value chart to add numbers,Explore addition using a place value chart,publish,Adding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/AunHULQVyXU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:93, id:94, id:95, id:96, id:97"
45,Addition of Multi-Digit Whole Numbers,,Learning to add multi-digit whole numbers in Grade 3 enhances skills in addition and number sense. Students will explore how to perform addition with multi-digit numbers,Learn to add multi-digit whole numbers,publish,Adding Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ioiSqRj39mA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:98, id:99, id:100, id:101, id:102"
46,Subtraction Using Base-Ten Blocks,,Using base-ten blocks to understand subtraction in Grade 3 reinforces the concept of taking away in a visual manner. Students will learn how to represent and subtract numbers using base-ten blocks,Use base-ten blocks to understand subtraction,publish,Subtracting Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/lm4dsh4MdwU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:109, id:110, id:111, id:112, id:113"
47,Subtraction Using Base-Ten Blocks with Regrouping,,Learning to subtract using base-ten blocks with regrouping in Grade 3 enhances understanding of borrowing in subtraction. Students will explore how to perform regrouping with base-ten blocks,Learn to subtract using base-ten blocks with regrouping,publish,Subtracting Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/w_vclUiJP30"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:109, id:110, id:111, id:112, id:113"
48,Subtraction of Multi-Digit Whole Numbers,,Exploring subtraction of multi-digit whole numbers in Grade 3 reinforces skills in subtraction and number sense. Students will learn how to perform subtraction with multi-digit numbers,Explore subtraction of multi-digit whole numbers,publish,Subtracting Whole Numbers,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kICDhtwji3A"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:109, id:110, id:111, id:112, id:113"
49,Multiples of Ten,,Understanding multiples of ten in Grade 3 enhances number sense and multiplication skills. Students will explore how multiples of ten are used in multiplication and division,Understand multiples of ten,publish,Multiples of Ten,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/w_OMNvH6YT8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:116, id:117"
50,Multiplying Numbers by Multiples of Ten,,Learning to multiply numbers by multiples of ten in Grade 3 reinforces multiplication skills and understanding of place value. Students will explore how multiplying by multiples of ten involves shifting the value of a digit,Learn to multiply numbers by multiples of ten,publish,Multiples of Ten,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/h3ZZAjD_pYo"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:118, id:119, id:120, id:121"
51,Time in Minutes and Hours,,Exploring the concepts of time in minutes and hours in Grade 3 enhances understanding of time measurement. Students will learn how to measure and represent time using minutes and hours,Explore the concepts of time in minutes and hours,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ITItALp58xU"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:131, id:132"
52,Time in a Watch,,Learning to read time on a watch in Grade 3 reinforces practical skills in time management. Students will explore how to read time on an analog watch,Learn to read time on a watch,publish,Time,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/wGzA3wY19NA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
