Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
79,Dividing Whole Measurements of Liquid Volume Using Groups,,Exploring division of whole measurements of liquid volume using groups in Grade 3 enhances understanding of division in practical scenarios. Students will learn to divide liquid volumes into equal parts using grouping strategies,Explore division of whole measurements of liquid volume using groups,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/TFnIEOks9EM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
80,Dividing Whole Measurements of Liquid Volume Solving for an Unknown,,Learning to solve for unknowns in division problems involving liquid volume in Grade 3 reinforces division skills. Students will explore how to find the unknown value in a division problem involving liquid volume,Learn to solve for unknowns in division problems involving liquid volume,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/7SuS00a4Bng"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
81,Multiplying Whole Measurements of Volume,,Understanding how to multiply whole measurements of volume in Grade 3 enhances multiplication skills in real-world applications. Students will learn to multiply volumes of different objects,Understand how to multiply whole measurements of volume,publish,Solving Problems Involving Masses or Volumes,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/8-34q0tNmUs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
82,Representing Data by Drawing Pictographs,,Learning to represent data visually by drawing pictographs in Grade 3 enhances data interpretation skills. Students will create pictographs to visually represent data,Learn to represent data visually by drawing pictographs,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/mSk5MnkHJao"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
83,Representing Data by Creating Bar Graph,,Exploring how to create bar graphs to represent data in Grade 3 reinforces skills in data visualization. Students will construct bar graphs to visually represent data,Explore how to create bar graphs to represent data,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ReW4MPqXTvA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
84,Drawing Detailed Bar Graphs,,Learning to draw detailed bar graphs in Grade 3 enhances skills in data representation and analysis. Students will create bar graphs with detailed data representations,Learn to draw detailed bar graphs,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/qzEaaSnWIUA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
85,Reading Data in Bar Graphs Drawn on a Grid,,Understanding how to read data in bar graphs drawn on a grid in Grade 3 reinforces data interpretation skills. Students will learn to extract information from bar graphs drawn on a grid,Understand how to read data in bar graphs drawn on a grid,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/3j6onkcBjyQ"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
86,Reading Data in Bar Graphs,,Learning to read and interpret data in bar graphs in Grade 3 enhances skills in data analysis. Students will explore how to analyze and interpret bar graphs,Learn to read and interpret data in bar graphs,publish,Pictographs and Bar Graphs,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/nGDYjEJCHUM"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
87,Squares and Rectangles,,Exploring the properties of squares and rectangles in Grade 3 enhances understanding of geometric shapes. Students will learn the unique properties of squares and rectangles,Explore the properties of squares and rectangles,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ZDSlmq9N5k4"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
88,Squares and Rhombi,,Learning about the properties of squares and rhombi in Grade 3 reinforces understanding of geometric relationships. Students will explore the similarities and differences between squares and rhombi,Learn about the properties of squares and rhombi,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/NfFVjPivAc8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
89,Quadrilaterals,,Understanding the properties of quadrilaterals in Grade 3 enhances knowledge of various geometric shapes. Students will explore the unique characteristics of quadrilaterals,Understand the properties of quadrilaterals,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/_cVhFLA_p74"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
90,Breaking Shapes into Equal Parts,,Learning to break shapes into equal parts in Grade 3 reinforces understanding of fractions and division in geometry. Students will explore how to divide geometric shapes into equal parts,Learn to break shapes into equal parts,publish,Geometry,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/M3isJ0IQUpY"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
91,Drawing and Reading Simple Line Plots,,Exploring how to draw and read simple line plots in Grade 3 enhances skills in data representation. Students will create line plots to visually represent data,Explore how to draw and read simple line plots,publish,Line Plots,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/yPVOdQ0CdEs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
92,Organizing Fractional Length Measurement Data,,Learning to organize fractional length measurement data using line plots in Grade 3 reinforces data analysis skills. Students will utilize line plots to organize and analyze data involving fractional lengths,Learn to organize fractional length measurement data using line plots,publish,Line Plots,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ZBA_uSBsFd0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
93,Representing Fractional Length Measurements with Line Plots,,Understanding how to represent fractional length measurements using line plots in Grade 3 enhances skills in data visualization. Students will create line plots to visually represent data involving fractions,Understand how to represent fractional length measurements using line plots,publish,Line Plots,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/MwsO_9Se1sc"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
94,Unit Squares for Measuring Area of Figures,,Learning to use unit squares to measure the area of figures in Grade 3 reinforces the understanding of area concepts. Students will utilize unit squares to calculate the area of various figures,Learn to use unit squares to measure the area of figures,publish,Area,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/M0mlojwL9vA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
