Id,Lesson,Slug,Description,Excerpt,Status,Module,Prerequisite,Preview,Tags,Image,Length,Complexity,Video,Pass Required,Passmark,Number Of Questions,Random Question Order,Auto-Grade,Quiz Reset,Allow Comments,Questions
11,Multiplication Using the Number Line,,Utilizing the number line to solve word problems involving multiplication in Grade 3 is a powerful strategy that enhances problem-solving skills. Students will learn to represent and solve multiplication word problems by jumping a specific number of steps on the number line,Use a number line to solve multiplication word problems,publish,Multiplication Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/pmT4JnHBLzo"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
12,Multiplication Using Groups,,Applying the concept of grouping to solve word problems involving multiplication in Grade 3 is a practical approach. Students will learn how to tackle multiplication word problems by organizing objects into groups,Learn to tackle multiplication word problems by grouping,publish,Multiplication Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kFAH3eKPo7Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
13,Division Using Groups,,Using grouping strategies to solve word problems involving division in Grade 3 is a practical and effective approach. Students will learn to apply division concepts to real-world scenarios by splitting objects into groups,Explore division word problems by grouping,publish,Division Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/HQtdoTQpO0Q"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
14,Division Using Arrays,,Arrays offer a visual and practical approach to solving word problems involving division in Grade 3. Students will learn how to use arrays to represent and solve division problems,Use arrays to solve division word problems,publish,Division Word Problems,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/2nnEkC3vKjo"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
15,The Multiplication Table,,Learning the multiplication table in Grade 3 is an essential step towards mastering multiplication facts and enhancing calculation speed. Students will explore the multiplication table as a fundamental tool,Learn the multiplication table,publish,Multiplication Table,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/nP3jjMc4Qg0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:24, id:25, id:26, id:27"
16,Patterns in the Multiplication Table for the Number 5,,Discovering patterns in the multiplication table for the number 5 in Grade 3 enhances number sense and multiplication skills. Students will explore how the multiplication table reveals consistent patterns for the number 5,Discover patterns in the multiplication table for the number 5,publish,Multiplication Table,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/VQZkr6IWwJ4"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:47, id:48, id:49"
17,Adding 10 to the Multiplication Table,,Learning how to add 10 to the multiplication table in Grade 3 reinforces addition and multiplication relationships. Students will explore the connection between addition and multiplication,Learn how to add 10 to the multiplication table,publish,Multiplication Table,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/kbzQDDiuoy0"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:116, id:117"
18,Finding the Product Using the Multiplication Table,,The multiplication table is a powerful tool for Grade 3 students to find unknown products in multiplication problems. Students will learn how to use the multiplication table to fill in missing factors,Use the multiplication table to find unknown products,publish,Finding the Unknown Product,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/d2MkyjX6sxs"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:28, id:29"
19,Associativity and Multiplication Problems,,Exploring the associative property of multiplication through various problems in Grade 3 enhances understanding of multiplication relationships. Students will learn how the order of factors does not affect the product when multiplying,Explore the associative property of multiplication through various problems,publish,Finding the Unknown Product,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/fcyPUu5LIow"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:33, id:36"
20,Multiplication Table and the Distributive Property,,Understanding how to apply the distributive property using the multiplication table in Grade 3 improves problem-solving strategies. Students will learn how the distributive property can simplify complex multiplication problems,Learn how to apply the distributive property using the multiplication table,publish,Finding the Unknown Product,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/Nbn1eB_D1Ks"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,"id:34, id:37"
21,Finding the Unknown Factor Using the Multiplication Table,,Utilizing the multiplication table to find unknown factors in multiplication problems reinforces the relationship between multiplication and division in Grade 3. Students will learn how to use the multiplication table to solve problems involving unknown factors,Use the multiplication table to find unknown factors,publish,Finding the Unknown Factor,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/jobOdhdhV8A"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:35
22,Finding the Unknown Factor in Division Problems,,Learning to find unknown factors in division problems enhances division skills and understanding in Grade 3. Students will explore how to use division to find missing factors in problems involving whole numbers,Learn to find unknown factors in division problems,publish,Finding the Unknown Factor,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/x78mw-iq8CA"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,
23,The Commutative Property of Multiplication,,Exploring the commutative property of multiplication in Grade 3 illuminates how the order of factors does not affect the product. Students will learn how this property allows for flexibility in multiplication problems,Explore the commutative property of multiplication,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/H8_zG23evP8"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:32
24,The Associative Property of Multiplication,,Understanding the associative property of multiplication in Grade 3 provides a powerful tool for simplifying complex multiplication problems. Students will learn how this property allows grouping of factors without changing the product,Learn about the associative property of multiplication,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/xEtSkES0A54"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:33
25,The Distributive Property of Multiplication,,The distributive property of multiplication is a critical tool for simplifying complex multiplication problems in Grade 3. Students will learn how this property can break down a complex multiplication problem into simpler calculations,Understand the distributive property of multiplication,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/ZLzy6u0QOmQ"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:34
26,Distributive Property Using the Area of Rectangles,,Learning how to apply the distributive property using area models to solve multiplication problems in Grade 3 enhances spatial reasoning. Students will explore how the distributive property can be used to calculate the area of rectangles by splitting the rectangle into smaller units,Apply the distributive property using area models to solve multiplication problems,publish,Multiplication Properties,,,,,,,"<iframe width=""853"" height=""480"" src=""https://www.youtube.com/embed/MDI4kcBGa_k"" frameborder=""1"" allowfullscreen></iframe>",,,,,,,,id:138
